Order_ID,Product,Country,Channel,Order_Date,Discount_Pct,Price_per_Box,Marketing_Spend,Boxes_Shipped,Amount
ORD-174260,Mixed Assortment Box,Australia,Retail,2022-06-27,12.1,2.88,140.91,269,703.89
ORD-065519,Milk Classic Bar,Brazil,Retail,2022-09-21,10.9,3.06,88.21,124,344.55
ORD-008466,70% Dark Bar,Brazil,Wholesale,2023-04-17,5.03,3.19,121.05,287,785.75
ORD-062955,Almond Crunch Bar,Australia,Online,2022-07-12,19.6,3.09,120.65,141,351.76
ORD-000094,70% Dark Bar,Australia,Retail,2023-08-04,12.3,2.88,53.31,97,221.45
ORD-004348,Milk Classic Bar,Australia,Retail,2023-06-12,7.5,3.23,113.52,104,302.5
ORD-084241,Choco Coins Bag,Germany,Retail,2023-11-10,9.6,2.64,78.37,222,529.92
ORD-188657,70% Dark Bar,Australia,Retail,2022-07-20,25.9,3.7,83.8,123,331.95
ORD-137800,Mint Dark Bar,India,Retail,2023-07-27,7.8,2.84,43.59,53,145.78
ORD-080148,Truffle Gift Box,Brazil,Retail,2022-03-18,17.5,2.93,177.95,385,863.98
ORD-055101,Salted Caramel Bar,Australia,Retail,2022-04-14,12.9,2.85,136.94,126,309.56
ORD-003374,70% Dark Bar,Germany,Online,2022-05-31,15.6,3.03,125.48,102,276.23
ORD-194070,Milk Classic Bar,Brazil,Online,2022-10-31,16.9,2.95,46.7,134,315.14
ORD-135961,Hazelnut Milk Bar,Australia,Wholesale,2023-07-27,5.9,3.56,80.79,101,351.04
ORD-052258,Mixed Assortment Box,Germany,Retail,2023-07-03,17.7,11.96,167.32,175,1814.21
ORD-033482,85% Dark Bar,Brazil,Retail,2022-11-22,11.1,3.96,26.84,106,368.58
ORD-020471,70% Dark Bar,Brazil,Retail,2022-09-10,15.9,3.57,77.5,142,411.07
ORD-014995,Pralines Gift Box,Australia,Retail,2022-04-05,14.6,3.13,53.09,77,217.13
ORD-010784,Hazelnut Milk Bar,Australia,Online,2023-11-22,5.3,2.72,27.66,59,176.09
ORD-165334,70% Dark Bar,Australia,Retail,2023-07-16,17.5,3.66,87.35,95,268.44
ORD-070585,85% Dark Bar,Japan,Retail,2022-11-17,10.6,17.64,130.23,27,416.04
ORD-146246,Milk Classic Bar,Germany,Retail,2023-05-28,20.5,4.0,142.38,112,326.13
ORD-181719,Truffle Gift Box,Australia,Wholesale,2023-03-17,11.8,2.91,132.0,200,533.23
ORD-015889,Truffle Gift Box,Australia,Wholesale,2023-12-04,14.8,2.84,148.7,373,879.94
ORD-127206,Mint Dark Bar,Australia,Wholesale,2022-02-09,14.4,2.68,65.21,103,232.04
ORD-164891,70% Dark Bar,Australia,Retail,2022-09-05,8.0,2.84,24.7,72,200.58
ORD-061327,70% Dark Bar,Australia,Retail,2023-07-03,5.7,3.36,23.87,47,146.91
ORD-011990,70% Dark Bar,Brazil,Retail,2022-10-23,28.0,3.57,28.57,131,366.66
ORD-119240,Pralines Gift Box,India,Retail,2022-05-24,13.0,16.76,33.12,18,248.98
ORD-127965,70% Dark Bar,Australia,Retail,2023-11-28,30.2,2.71,142.33,300,577.57
ORD-193854,Milk Classic Bar,Australia,Wholesale,2023-09-10,15.4,18.91,40.47,27,430.07
ORD-134291,85% Dark Bar,Germany,Wholesale,2023-10-28,17.4,2.89,28.42,95,221.19
ORD-096361,Mixed Assortment Box,Brazil,Retail,2023-07-13,13.1,13.04,98.5,109,1255.31
ORD-197683,Almond Crunch Bar,Germany,Retail,2022-04-12,7.5,3.22,39.16,77,202.87
ORD-108984,70% Dark Bar,Australia,Retail,2022-10-08,23.0,2.47,66.59,139,262.11
ORD-064823,Mint Dark Bar,Japan,Online,2023-06-19,1.3,2.81,34.87,64,172.89
ORD-034424,White Choco Bar,Australia,Online,2022-03-22,10.7,12.07,42.72,24,259.09
ORD-014429,70% Dark Bar,Australia,Wholesale,2023-05-11,20.9,2.56,142.96,175,362.51
ORD-146019,70% Dark Bar,Brazil,Wholesale,2023-04-24,14.3,3.6,50.06,110,345.18
ORD-101392,Mixed Assortment Box,Australia,Retail,2022-12-08,6.7,13.91,155.35,112,1354.37
ORD-172201,85% Dark Bar,Australia,Wholesale,2023-11-20,13.29,2.91,101.76,241,548.05
ORD-032011,70% Dark Bar,Australia,Wholesale,2023-06-02,10.1,3.35,87.25,125,370.41
ORD-078348,70% Dark Bar,Australia,Retail,2023-12-06,23.1,3.92,162.27,178,562.37
ORD-027613,70% Dark Bar,Brazil,Retail,2023-08-08,6.29,4.35,101.14,152,543.04
ORD-068345,70% Dark Bar,Brazil,Wholesale,2022-10-06,15.1,3.38,136.17,264,729.05
ORD-180398,Truffle Gift Box,Australia,Retail,2023-10-23,23.3,2.79,83.78,144,314.53
ORD-183425,Truffle Gift Box,Australia,Wholesale,2022-11-03,11.4,3.44,218.0,276,779.5
ORD-030039,Truffle Gift Box,Australia,Online,2022-05-10,24.2,3.34,116.83,152,365.95
ORD-175601,Hazelnut Milk Bar,Brazil,Wholesale,2023-07-01,11.6,13.61,262.06,138,1638.29
ORD-181212,70% Dark Bar,Brazil,Retail,2022-06-06,9.6,2.52,66.97,145,336.85
ORD-167709,Milk Classic Bar,Australia,Retail,2022-04-09,8.1,12.97,42.95,21,250.92
ORD-080085,Truffle Gift Box,Germany,Wholesale,2023-10-20,15.4,3.7,156.98,387,1182.3
ORD-060936,Mint Dark Bar,India,Retail,2022-12-14,14.9,17.1,94.71,30,442.68
ORD-161312,Milk Classic Bar,Australia,Retail,2022-06-07,13.6,3.1,44.03,63,177.75
ORD-137885,Truffle Gift Box,Australia,Retail,2023-03-11,14.2,4.07,21.74,74,259.07
ORD-032041,70% Dark Bar,India,Wholesale,2023-09-06,14.3,12.43,33.2,31,360.64
ORD-187978,Pralines Gift Box,Australia,Online,2023-08-15,8.3,3.13,151.15,121,334.53
ORD-005205,Truffle Gift Box,Brazil,Wholesale,2022-01-17,18.2,2.85,234.85,403,973.46
ORD-017327,Choco Coins Bag,Australia,Wholesale,2022-07-20,13.1,3.34,99.15,265,786.78
ORD-133920,Mint Dark Bar,Brazil,Wholesale,2022-04-20,16.6,2.85,36.74,88,205.78
ORD-100587,Mixed Assortment Box,Brazil,Retail,2023-07-23,20.4,3.24,38.52,352,903.42
ORD-134124,Mixed Assortment Box,India,Wholesale,2023-08-29,11.9,3.4,34.44,296,920.19
ORD-015423,70% Dark Bar,Brazil,Online,2023-04-21,26.6,2.88,109.12,204,405.01
ORD-110044,70% Dark Bar,Germany,Retail,2022-10-27,10.8,3.02,151.11,118,319.41
ORD-184157,Hazelnut Milk Bar,Brazil,Retail,2022-11-29,17.4,3.27,71.3,141,414.08
ORD-166068,70% Dark Bar,Australia,Wholesale,2023-01-22,4.67,3.27,29.08,85,221.83
ORD-198825,Pralines Gift Box,Germany,Retail,2022-08-07,22.5,3.43,128.63,112,289.96
ORD-192524,70% Dark Bar,Brazil,Wholesale,2023-06-07,4.5,3.05,43.09,100,293.96
ORD-180295,Salted Caramel Bar,India,Retail,2023-04-12,10.0,3.4,32.56,67,187.56
ORD-152402,Truffle Gift Box,Brazil,Retail,2023-11-03,9.3,2.65,43.26,192,393.75
ORD-174592,Truffle Gift Box,Australia,Retail,2023-10-28,7.4,3.24,87.09,137,427.25
